Arena_ID,State,City,Capacity,Arena_Name
1001,Atlanta,Atlanta,18729,State Farm Arena
1002,Massachusetts,Boston,18624,TD Garden
1003,Ohio,Cleveland,20562,Rocket Mortgage FieldHouse
1004,Louisiana,New Orleans,,Smoothie King Center
1005,Illinois,Chicago,21711,United Center
1006,Texas,Dallas,19200,American Airlines Center
1007,Colorado,Denver,,Ball Arena
1008,California,Golden State,,Chase Center
1009,Texas,Houston,18104,Toyota Center
1010,California,Los Angeles,19060,STAPLES Center
1011,California,Los Angeles,19060,STAPLES Center
1012,Florida,Miami,19600,AmericanAirlines Arena
1013,Wisconsin,Milwaukee,17500,Fiserv Forum
1014,Minnesota,Minnesota,19356,Target Center
1015,New York,Brooklyn,,Barclays Center
1016,New York,New York,19763,Madison Square Garden
1017,Florida,Orlando,0,Amway Center
1018,Indiana,Indiana,18345,Bankers Life Fieldhouse
1019,Pennsylvania,Philadelphia,,Wells Fargo Center
1020,Arizona,Phoenix,,Phoenix Suns Arena
1021,Oregon,Portland,19980,Moda Center
1022,California,Sacramento,17500,Golden 1 Center
1023,Texas,San Antonio,18694,AT&T Center
1024,Oklahoma,Oklahoma City,,Chesapeake Energy Arena
1025,Ontario,Toronto,,Amalie Arena
1026,Utah,Utah,,Vivint Arena
1027,Tennessee,Memphis,18119,FedExForum
1028,District of Columbia,Washington,20647,Capital One Arena
1029,Michigan,Detroit,,Little Caesars Arena
1030,North Carolina,Charlotte,19026,Spectrum Center
