PLAYER_ID,FIRST_NAME,LAST_NAME,DATE_BIRTH,HEIGHT,WEIGHT,JERSEY,POSITION,TEAM_ID,CAREER_PTS,CAREER_AST,CAREER_REB,ALL_STAR_NUM
76001,Alaa,Abdelnaby,1968-06-24,82.0,240.0,30,Forward,1610612757.0,5.7,0.3,3.3,0.0
76002,Zaid,Abdul-Aziz,1946-04-07,81.0,235.0,54,Center,1610612745.0,9.0,1.2,8.0,0.0
76003,Kareem,Abdul-Jabbar,1947-04-16,86.0,225.0,33,Center,1610612747.0,24.6,3.6,11.2,18.0
51,Mahmoud,Abdul-Rauf,1969-03-09,73.0,162.0,1,Guard,1610612743.0,14.6,3.5,1.9,0.0
1505,Tariq,Abdul-Wahad,1974-11-03,78.0,235.0,9,Forward-Guard,1610612758.0,7.8,1.1,3.3,0.0
949,Shareef,Abdur-Rahim,1976-12-11,81.0,245.0,3,Forward,1610612763.0,18.1,2.5,7.5,1.0
76005,Tom,Abernethy,1954-05-06,79.0,220.0,5,Forward,1610612744.0,5.6,1.2,3.2,0.0
76006,Forest,Able,1932-07-27,75.0,180.0,6,Guard,1610612755.0,0.0,1.0,1.0,0.0
76007,John,Abramovic,1919-02-09,75.0,195.0,,Forward,1610610031.0,9.5,0.7,,0.0
203518,Alex,Abrines,1993-08-01,78.0,200.0,,Guard,0.0,5.3,0.5,1.4,0.0
101165,Alex,Acker,1983-01-21,77.0,185.0,3,Guard,1610612746.0,2.7,0.5,1.0,0.0
76008,Donald,Ackerman,1930-09-04,72.0,183.0, ,Guard,1610612752.0,1.5,0.8,0.5,0.0
76009,Mark,Acres,1962-11-15,83.0,220.0,42,Center,1610612753.0,3.6,0.5,4.1,0.0
76010,Charles,Acton,1942-01-11,78.0,210.0,24,Forward,1610612745.0,3.3,0.5,2.0,0.0
203112,Quincy,Acy,1990-10-06,79.0,240.0,,Forward,0.0,4.9,0.6,3.5,0.0
76011,Alvan,Adams,1954-07-19,81.0,210.0,33,Center,1610612756.0,14.1,4.1,7.0,1.0
76012,Don,Adams,1947-11-27,79.0,210.0,10,Forward,1610612765.0,8.7,1.8,5.6,0.0
200801,Hassan,Adams,1984-06-20,76.0,220.0,,Forward,0.0,2.5,0.2,1.2,0.0
1629121,Jaylen,Adams,1996-05-04,72.0,225.0,,Guard,0.0,0.3,0.3,0.4,
203919,Jordan,Adams,1994-07-08,77.0,209.0,3,Guard,1610612763.0,3.2,0.6,0.9,0.0
149,Michael,Adams,1963-01-19,70.0,165.0,23,Guard,1610612743.0,14.7,6.4,2.9,1.0
203500,Steven,Adams,1993-07-20,83.0,265.0,12,Center,1610612740.0,8.1,2.0,9.2,
912,Rafael,Addison,1964-07-22,80.0,241.0,7,Forward,1610612751.0,5.8,0.9,2.1,0.0
1628389,Bam,Adebayo,1997-07-18,81.0,255.0,13,Center-Forward,1610612748.0,19.2,5.4,9.5,
1629061,Deng,Adel,1997-02-01,79.0,200.0,32,Forward,1610612739.0,1.7,0.3,1.0,0.0
76015,Rick,Adelman,1946-06-16,74.0,175.0,5,Guard,1610612757.0,7.7,3.5,2.4,0.0
202399,Jeff,Adrien,1986-02-10,,,,,0.0,4.6,0.7,4.3,0.0
201167,Arron,Afflalo,1985-10-15,77.0,210.0,4,Guard,1610612753.0,10.8,1.8,2.9,0.0
200772,Maurice,Ager,1984-02-09,77.0,202.0,,Forward-Guard,0.0,2.1,0.2,0.6,0.0
76016,Mark,Aguirre,1959-12-10,78.0,232.0,7,Forward,1610612742.0,20.0,3.1,5.0,3.0
201336,Blake,Ahearn,1984-05-27,74.0,190.0,2,Guard,1610612748.0,4.6,1.2,1.2,0.0
76017,Danny,Ainge,1959-03-17,77.0,175.0,22,Guard,1610612738.0,11.5,4.0,2.7,1.0
201582,Alexis,Ajinca,1988-05-06,86.0,248.0,42,Center,1610612740.0,5.3,0.5,3.9,0.0
76018,Henry,Akin,1944-07-31,82.0,225.0,10,Center,1610612752.0,3.5,0.5,2.1,0.0
203006,Josh,Akognon,1986-02-10,71.0,185.0,10,Guard,1610612742.0,1.7,0.3,0.3,0.0
1629152,DeVaughn,Akoon-Purcell,1993-06-05,78.0,200.0,,Guard-Forward,0.0,1.0,0.9,0.6,0.0
202374,Solomon,Alabi,1988-03-21,85.0,252.0,50,Center,1610612761.0,1.5,0.2,2.3,0.0
76019,Mark,Alarie,1963-12-11,80.0,217.0,31,Forward,1610612764.0,7.5,1.1,3.4,0.0
76020,Gary,Alcorn,1936-10-08,81.0,225.0,24,Center,1610612765.0,3.3,0.3,4.2,0.0
203128,Furkan,Aldemir,1991-08-09,82.0,240.0,19,Forward-Center,1610612755.0,2.3,0.7,4.3,0.0
202332,Cole,Aldrich,1988-10-31,83.0,253.0,45,Center,1610612752.0,3.1,0.5,3.3,0.0
200746,LaMarcus,Aldridge,1985-07-19,83.0,250.0,12,Center-Forward,1610612759.0,13.7,1.7,4.5,
76021,Chuck,Aleksinas,1959-02-26,83.0,260.0,50,Center,1610612744.0,5.1,0.5,3.6,0.0
1626146,Cliff,Alexander,1995-11-16,80.0,240.0,34,Forward,1610612757.0,1.3,0.0,0.8,0.0
724,Cory,Alexander,1973-06-22,73.0,190.0,12,Guard,1610612759.0,5.5,2.7,1.6,0.0
2042,Courtney,Alexander,1977-04-27,77.0,205.0,32,Guard,1610612764.0,9.0,1.2,2.2,0.0
76022,Gary,Alexander,1969-11-01,79.0,240.0,16,Forward,1610612739.0,1.7,0.2,1.4,0.0
201570,Joe,Alexander,1986-12-26,80.0,230.0,20,Forward,1610612749.0,4.2,0.7,1.8,0.0
1629734,Kyle,Alexander,1996-10-21,82.0,216.0,17,Forward-Center,1610612748.0,1.0,0.0,1.5,0.0
2349,Victor,Alexander,1969-08-31,82.0,265.0,9,Forward,1610612744.0,8.9,0.9,4.8,0.0
1629638,Nickeil,Alexander-Walker,1998-09-02,78.0,205.0,6,Guard,1610612740.0,9.2,1.9,2.8,
76024,Steve,Alford,1964-11-23,74.0,183.0,4,Guard,1610612742.0,4.4,1.0,0.9,0.0
1628959,Rawle,Alkins,1997-10-29,77.0,225.0,20,Guard,1610612741.0,3.7,1.3,2.6,0.0
76028,Bob,Allen,1946-07-17,81.0,205.0,50,Forward,1610612744.0,1.8,0.4,2.1,0.0
1628960,Grayson,Allen,1995-10-08,76.0,198.0,3,Guard,1610612763.0,9.5,2.1,3.1,
1628386,Jarrett,Allen,1998-04-21,83.0,243.0,31,Center,1610612739.0,12.9,1.6,9.9,
706,Jerome,Allen,1973-01-28,76.0,184.0,53,Guard,1610612754.0,2.9,1.7,1.1,0.0
1628443,Kadeem,Allen,1993-01-15,73.0,200.0,,Guard,0.0,5.5,2.3,1.5,0.0
202730,Lavoy,Allen,1989-02-04,81.0,260.0,5,Forward-Center,1610612754.0,4.8,1.0,4.8,0.0
76027,Lucius,Allen,1947-09-26,74.0,175.0,42,Guard,1610612749.0,13.4,4.5,3.1,0.0
2124,Malik,Allen,1978-06-27,82.0,255.0,35,Forward,1610612748.0,4.9,0.5,2.8,0.0
76025,Randy,Allen,1965-01-26,80.0,220.0,33,Forward,1610612758.0,3.6,0.3,2.1,0.0
951,Ray,Allen,1975-07-20,77.0,205.0,34,Guard,1610612749.0,18.9,3.4,4.1,10.0
2754,Tony,Allen,1982-01-11,76.0,213.0,,Guard-Forward,0.0,8.1,1.3,3.5,0.0
