TEAM_ID,YEAR,W,L
1610612737,2002,35,47
1610612737,2003,28,54
1610612737,2004,13,69
1610612737,2005,26,56
1610612737,2006,30,52
1610612737,2007,37,45
1610612737,2008,47,35
1610612737,2009,53,29
1610612737,2010,44,38
1610612737,2011,40,26
1610612737,2012,44,38
1610612737,2013,38,44
1610612737,2014,60,22
1610612737,2015,48,34
1610612737,2016,43,39
1610612737,2017,24,58
1610612737,2018,29,53
1610612737,2019,20,47
1610612737,2020,41,31
1610612738,2002,44,38
1610612738,2003,36,46
1610612738,2004,45,37
1610612738,2005,33,49
1610612738,2006,24,58
1610612738,2007,66,16
1610612738,2008,62,20
1610612738,2009,50,32
1610612738,2010,56,26
1610612738,2011,39,27
1610612738,2012,41,40
1610612738,2013,25,57
1610612738,2014,40,42
1610612738,2015,48,34
1610612738,2016,53,29
1610612738,2017,55,27
1610612738,2018,49,33
1610612738,2019,48,24
1610612738,2020,36,36
1610612739,2002,17,65
1610612739,2003,35,47
1610612739,2004,42,40
1610612739,2005,50,32
1610612739,2006,50,32
1610612739,2007,45,37
1610612739,2008,66,16
1610612739,2009,61,21
1610612739,2010,19,63
1610612739,2011,21,45
1610612739,2012,24,58
1610612739,2013,33,49
1610612739,2014,53,29
1610612739,2015,57,25
1610612739,2016,51,31
1610612739,2017,50,32
1610612739,2018,19,63
1610612739,2019,19,46
1610612739,2020,22,50
1610612740,2002,47,35
1610612740,2003,41,41
1610612740,2004,18,64
1610612740,2005,38,44
1610612740,2006,39,43
1610612740,2007,56,26
1610612740,2008,49,33
1610612740,2009,37,45
1610612740,2010,46,36
1610612740,2011,21,45
1610612740,2012,27,55
1610612740,2013,34,48
1610612740,2014,45,37
1610612740,2015,30,52
1610612740,2016,34,48
1610612740,2017,48,34
1610612740,2018,33,49
1610612740,2019,30,42
1610612740,2020,31,41
1610612741,2002,30,52
1610612741,2003,23,59
1610612741,2004,47,35
1610612741,2005,41,41
1610612741,2006,49,33
1610612741,2007,33,49
1610612741,2008,41,41
1610612741,2009,41,41
1610612741,2010,62,20
1610612741,2011,50,16
1610612741,2012,45,37
1610612741,2013,48,34
1610612741,2014,50,32
1610612741,2015,42,40
1610612741,2016,41,41
1610612741,2017,27,55
1610612741,2018,22,60
1610612741,2019,22,43
1610612741,2020,31,41
1610612742,2002,60,22
1610612742,2003,52,30
1610612742,2004,58,24
1610612742,2005,60,22
1610612742,2006,67,15
1610612742,2007,51,31
1610612742,2008,50,32
1610612742,2009,55,27
1610612742,2010,57,25
1610612742,2011,36,30
1610612742,2012,41,41
1610612742,2013,49,33
1610612742,2014,50,32
1610612742,2015,42,40
1610612742,2016,33,49
1610612742,2017,24,58
1610612742,2018,33,49
1610612742,2019,43,32
1610612742,2020,42,30
1610612743,2002,17,65
1610612743,2003,43,39
1610612743,2004,49,33
1610612743,2005,44,38
1610612743,2006,45,37
