Player_ID,First_Name,Last_Name,Date_Birth,Height,Weight,Jersey,Position,Team_ID,Career_PTS,Career.AST,Career.REB,ALL_STAR_NUM
977,Kobe,Bryant,1978-08-23T00:00:00,78.0,212.0,24,Forward-Guard,1610612747,25.0,4.7,5.2,15.0
2544,LeBron,James,1984-12-30T00:00:00,81.0,250.0,23,Forward,1610612747,25.4,7.9,7.9,
201142,Kevin,Durant,1988-09-29T00:00:00,82.0,240.0,7,Forward,1610612751,29.0,5.3,7.3,
203078,Bradley,Beal,1993-06-28T00:00:00,75.0,207.0,3,Guard,1610612764,31.8,4.6,5.1,
76375,Wilt,Chamberlain,1936-08-21T00:00:00,85.0,250.0,13,Center,1610612744,30.1,4.4,22.9,13.0
893,Michael,Jordan,1963-02-17T00:00:00,78.0,216.0,23,Guard,1610612741,30.1,5.3,6.2,13.0
203081,Damian,Lillard,1990-07-15T00:00:00,74.0,195.0,0,Guard,1610612757,30.1,7.7,4.4,
203954,Joel,Embiid,1994-03-16T00:00:00,84.0,280.0,21,Center-Forward,1610612755,29.9,3.3,11.5,
1495,Tim,Duncan,1976-04-25T00:00:00,83.0,250.0,21,Center-Forward,1610612759,19.0,3.0,10.8,15.0
1717,Dirk,Nowitzki,1978-06-19T00:00:00,84.0,245.0,41,Forward,1610612742,20.7,2.4,7.5,14.0
708,Kevin,Garnett,1976-05-19T00:00:00,83.0,240.0,21,Forward,1610612750,17.8,3.7,10.0,14.0
