Team_ID,Name,Year_Founded,Head_Coach,Arena_ID
1610612737,Hawks,1949,Nate McMillan,1001
1610612738,Celtics,1946,Brad Stevens,1002
1610612739,Cavaliers,1970,JB Bickerstaff,1003
1610612740,Pelicans,2002,Stan Van Gundy,1004
1610612741,Bulls,1966,Billy Donovan,1005
1610612742,Mavericks,1980,Rick Carlisle,1006
1610612743,Nuggets,1976,Michael Malone,1007
1610612744,Warriors,1946,Steve Kerr,1008
1610612745,Rockets,1967,Stephen Silas,1009
1610612746,Clippers,1970,Tyronn Lue,1010
1610612747,Lakers,1948,Frank Vogel,1011
1610612748,Heat,1988,Erik Spoelstra,1012
1610612749,Bucks,1968,Mike Budenholzer,1013
1610612750,Timberwolves,1989,Chris Finch,1014
1610612751,Nets,1976,Steve Nash,1015
1610612752,Knicks,1946,Tom Thibodeau,1016
1610612753,Magic,1989,Steve Clifford,1017
1610612754,Pacers,1976,Nate Bjorkgren,1018
1610612755,76ers,1949,Doc Rivers,1019
1610612756,Suns,1968,Monty Williams,1020
1610612757,Trail Blazers,1970,Terry Stotts,1021
1610612758,Kings,1948,Luke Walton,1022
1610612759,Spurs,1976,Gregg Popovich,1023
1610612760,Thunder,1967,Mark Daigneault,1024
1610612761,Raptors,1995,Nick Nurse,1025
1610612762,Jazz,1974,Quin Snyder,1026
1610612763,Grizzlies,1995,Taylor Jenkins,1027
1610612764,Wizards,1961,Scott Brooks,1028
1610612765,Pistons,1948,Dwane Casey,1029
1610612766,Hornets,1988,James Borrego,1030
